name,birth,start_year,end_year,career,games,완투,완봉,승,패,세,홀,타자,이닝,피안타,피홈런,볼넷,사구,탈삼진,실점,자책점,winning_rate,birth_month
김종철,1968-07-18T00:00:00Z,1990,1993,4,34,0,0,3,0,0,0,331,72.33333333333333,82,10,30,11,29,38,34,1,7
원근호,1968-11-13T00:00:00Z,1990,1990,1,4,0,0,0,0,0,0,14,3.6666666666666665,4,0,1,0,0,1,1,0,11
조정수,1969-05-02T00:00:00Z,1990,1991,2,13,0,0,0,1,0,0,158,32.66666666666667,32,3,20,3,10,19,18,0,5
강민기,1970-08-27T00:00:00Z,1990,1990,1,9,0,0,0,1,0,0,72,14.333333333333334,21,5,12,0,5,15,13,0,8
조영상,1970-10-26T00:00:00Z,1990,1993,4,52,0,0,4,7,0,0,571,116.33333333333333,136,18,72,18,75,99,90,0.364,10
이상훈,1971-03-21T00:00:00Z,1990,2004,15,339,0,0,23,33,12,9,3471,775.3333333333334,870,82,320,54,453,486,450,0.411,3
최향남,1971-03-28T00:00:00Z,1990,2013,15,293,5,2,54,70,24,14,4256,996.3333333333334,915,97,379,72,745,496,448,0.435,3
손병희,1971-04-20T00:00:00Z,1990,1991,2,18,0,0,0,0,0,0,251,58,56,5,36,2,22,22,21,0,4
이상목,1971-04-25T00:00:00Z,1990,2008,17,439,18,6,100,122,27,7,7775,1830.6666666666667,1952,206,407,72,1231,974,874,0.45,4
강대성,1971-05-09T00:00:00Z,1990,1995,4,11,0,0,0,0,0,0,81,17.333333333333332,23,2,6,2,4,14,14,0,5
서정필,1971-08-05T00:00:00Z,1990,1990,1,3,0,0,0,0,0,0,16,3.3333333333333335,1,0,3,1,0,3,3,0,8
권영구,1971-08-20T00:00:00Z,1990,1990,1,6,0,0,0,1,0,0,28,5,11,0,0,1,3,8,4,0,8
최태영,1971-08-30T00:00:00Z,1990,1990,1,1,0,0,0,0,0,0,16,3,5,1,2,0,1,4,4,0,8
노병오,1983-09-07T00:00:00Z,1990,2007,6,57,0,0,4,2,0,2,446,104,111,16,30,4,61,69,65,0.667,9
정인조,1964-11-23T00:00:00Z,1991,1991,1,2,0,0,0,0,0,0,22,4.333333333333333,10,5,1,0,3,7,7,0,11
김기완,1966-06-04T00:00:00Z,1991,1991,1,9,0,0,0,0,0,0,87,18.666666666666668,18,2,12,0,6,9,8,0,6
김태석,1967-02-12T00:00:00Z,1991,2002,11,250,9,1,35,47,3,1,3198,735,799,80,243,55,328,420,378,0.427,2
구대진,1967-06-02T00:00:00Z,1991,1991,1,7,0,0,0,1,0,0,50,12.666666666666666,9,1,6,0,0,4,4,0,6
이용호,1967-08-28T00:00:00Z,1991,1991,1,1,0,0,0,0,0,0,4,1,1,0,1,0,0,1,1,0,8
조규제,1967-10-07T00:00:00Z,1991,2005,15,508,0,0,54,64,153,18,3691,894.3333333333334,709,80,344,46,838,329,305,0.458,10
박진석,1968-01-08T00:00:00Z,1991,2000,9,171,7,0,23,35,7,0,2560,575.6666666666666,665,67,220,33,284,338,307,0.397,1
