name,birth,start_year,end_year,career,games,타수,득점,안타,이루타,삼루타,홈런,타점,도루,도실,볼넷,사구,삼진,병살,실책,batting_average,birth_month
정호진,1974-01-05T00:00:00Z,1993,1998,5,79,137,14,28,5,0,0,8,1,0,9,2,15,8,10,0.204,1
오명종,1974-01-14T00:00:00Z,1993,1993,1,5,15,1,2,0,0,0,1,2,0,0,0,1,0,1,0.133,1
김성준,1974-05-20T00:00:00Z,1993,1993,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
장용대,1974-10-23T00:00:00Z,1993,2001,8,116,176,16,36,6,0,5,21,0,0,10,3,60,3,1,0.205,10
임성주,1965-05-02T00:00:00Z,1994,1996,3,28,45,2,10,2,1,0,6,0,0,4,0,10,0,1,0.222,5
하득인,1966-10-09T00:00:00Z,1994,1997,4,326,679,59,161,35,2,11,95,8,5,60,27,88,20,7,0.237,10
길랑균,1968-10-14T00:00:00Z,1994,1994,1,8,6,1,1,0,0,0,0,0,0,0,0,3,0,0,0.167,10
박재용,1969-06-16T00:00:00Z,1994,2000,7,546,1562,167,385,74,8,23,195,12,5,130,25,276,32,18,0.246,6
임수혁,1969-06-17T00:00:00Z,1994,2000,7,488,1296,148,345,53,8,47,257,7,8,157,6,234,46,10,0.266,6
박상수,1970-06-29T00:00:00Z,1994,1994,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
정기창,1970-12-21T00:00:00Z,1994,1998,5,177,370,41,87,7,4,13,44,11,8,27,3,96,13,2,0.235,12
서용빈,1971-01-02T00:00:00Z,1994,2006,9,828,2625,307,760,139,22,22,350,31,19,238,32,353,61,37,0.29,1
박재호,1971-02-01T00:00:00Z,1994,1994,1,10,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2
이숭용,1971-03-10T00:00:00Z,1994,2011,18,2001,6139,783,1727,330,22,162,857,62,54,767,113,865,136,61,0.281,3
김신,1971-03-15T00:00:00Z,1994,1994,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
윤기수,1971-03-19T00:00:00Z,1994,1996,3,153,189,14,40,4,1,0,6,3,5,9,2,26,5,8,0.212,3
